,user_id,round,Action,Payoff,time,PlayedBy,context,NeigboursPayoffs1,2,3,4,5,6,7,8,Neigbours1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,other,self,response
103,91,44,D,10,3.11999988556,user,1,7,10,0,0,10,10,10,10,70,125,103,97,76,60,35,2,0,10,0
104,91,45,D,30,2.49000000954,user,3,40,30,20,10,10,14,21,28,62,88,108,48,116,71,13,70,0,30,0
105,91,46,C,14,5.77999997139,user,2,40,28,50,14,30,20,10,20,28,109,67,127,117,124,154,164,74,14,1
106,91,47,C,0,5.43000006676,user,0,20,20,30,10,10,10,30,20,88,8,152,19,72,100,80,101,80,0,1
107,91,48,C,14,4.48000001907,user,2,40,40,7,20,10,20,30,14,152,153,40,55,89,163,167,75,74,14,1
108,91,49,C,7,4.79999995232,user,1,10,10,10,30,30,7,30,20,142,79,168,127,90,109,138,72,77,7,1
109,91,50,C,7,2.97000002861,user,1,20,7,30,30,10,20,20,20,53,109,52,119,61,94,86,124,77,7,1
110,91,51,C,7,2.75,user,1,30,20,10,10,10,20,40,14,157,34,48,117,105,100,159,102,77,7,1
111,91,52,C,14,3.1899998188,user,2,20,14,14,30,20,20,20,30,153,16,5,4,13,42,31,88,74,14,1
112,91,53,C,21,4.3000001907300005,user,3,21,50,30,14,30,30,40,21,151,119,65,115,37,51,19,147,71,21,1
113,91,54,C,21,2.79999995232,user,3,14,50,21,30,14,40,20,20,160,132,169,143,139,155,103,10,71,21,1
114,91,55,C,14,4.17000007629,user,2,20,30,7,20,20,30,20,7,96,116,40,22,122,106,84,158,74,14,1
115,91,56,C,28,5.99000000954,user,4,30,21,35,70,28,21,30,40,20,69,48,17,142,75,95,86,68,28,1
116,91,57,C,14,5.47000002861,user,2,20,14,28,40,20,20,10,20,12,132,127,71,46,144,38,159,74,14,1
117,91,58,C,14,5.06999993324,user,2,20,10,10,30,14,14,20,20,81,130,19,89,121,96,110,26,74,14,1
118,91,59,C,21,5.1400001048999995,user,3,40,21,30,30,7,40,30,14,71,96,161,145,64,85,53,98,71,21,1
119,91,60,C,14,6.26999998093,user,2,7,20,20,30,28,40,30,20,67,49,165,135,109,148,46,167,74,14,1
120,165,1,D,20,3.8599998950999996,user,2,20,20,20,10,0,20,7,7,91,87,82,130,166,105,16,93,0,10,0
121,165,2,D,50,2.3599998950999996,user,5,14,28,21,21,20,7,10,30,143,16,128,50,30,70,33,117,0,50,0
122,165,3,D,10,3.0699999332399996,user,1,20,0,0,10,0,10,0,10,102,169,53,66,132,144,116,60,0,10,0
123,165,4,D,10,2.86999988556,user,1,10,20,30,7,20,10,0,0,119,53,70,139,25,158,95,167,0,10,0
124,165,5,D,10,2.04999995232,user,1,0,20,20,10,20,10,10,10,158,15,81,59,78,93,114,16,0,10,0
125,165,6,D,20,2.16000008583,user,2,10,30,14,7,20,20,20,0,21,57,59,111,52,141,169,67,0,20,0
126,165,7,D,0,5.6199998855599995,user,0,10,0,10,10,20,10,10,10,169,61,42,115,4,118,117,46,0,0,0
127,165,8,D,30,3.6399998664899997,user,3,20,30,14,30,10,7,20,14,162,41,136,107,133,166,163,14,0,30,0
128,165,9,D,0,2.53999996185,user,0,10,10,20,10,0,0,0,0,8,98,97,60,137,15,47,158,0,0,0
129,165,10,D,20,3.6900000572200002,user,2,0,10,7,30,10,0,20,20,72,71,123,7,93,95,141,122,0,20,0
130,165,11,D,30,4.0,user,3,28,50,14,20,0,20,30,14,150,105,117,119,55,146,57,168,0,30,0
131,165,12,D,10,1.59000015259,user,1,20,10,0,0,0,10,30,14,74,39,130,90,36,20,140,16,0,10,0
132,165,13,D,10,2.99000000954,user,1,20,10,14,30,10,0,10,20,92,112,13,35,163,135,27,93,0,10,0
133,165,14,D,10,1.51999998093,user,1,7,10,0,10,10,0,0,20,4,49,157,31,145,3,88,58,0,10,0
134,165,15,D,0,1.19000005722,user,0,10,20,20,0,10,10,10,0,157,111,2,98,129,30,146,163,0,0,0
135,165,16,D,40,2.02999997139,user,4,7,14,20,7,10,20,0,30,23,66,125,142,33,14,59,11,0,40,0
136,165,17,D,20,2.1899998188,user,2,10,10,10,7,30,14,20,30,67,14,95,3,31,123,98,134,0,20,0
137,165,18,D,0,4.23000001907,user,0,0,0,10,10,10,10,10,0,145,58,135,60,74,162,61,39,0,0,0
138,165,19,D,10,3.96000003815,user,1,10,10,0,20,10,10,30,20,38,118,123,77,84,10,86,166,0,10,0
139,165,20,D,20,2.53000020981,user,2,0,10,7,20,20,0,20,10,124,136,51,34,74,143,125,146,0,20,0
140,165,21,D,20,2.07999992371,user,2,0,0,10,20,30,14,14,30,57,39,66,118,87,169,44,166,0,20,0
141,165,22,D,20,3.6099998950999996,user,2,20,10,10,10,20,7,14,30,59,54,17,10,69,73,40,128,0,20,0
142,165,23,D,10,5.31999993324,user,1,10,20,10,20,20,0,10,10,141,65,57,115,72,116,133,143,0,10,0
143,165,24,D,20,1.5,user,2,7,10,10,20,7,30,20,10,20,151,112,110,142,67,159,163,0,20,0
144,165,25,D,30,2.22000002861,user,3,30,30,7,14,20,20,20,14,69,1,151,141,90,133,20,109,0,30,0
145,165,26,D,30,2.0599999427799998,user,3,10,0,0,30,14,21,14,30,127,98,61,71,142,145,24,143,0,30,0
146,165,27,D,10,6.89999985695,user,1,20,30,30,0,0,20,30,0,132,21,31,164,11,29,162,107,0,10,0
147,165,28,D,20,3.03999996185,user,2,0,10,10,0,10,20,0,10,82,10,36,136,5,148,84,35,0,20,0
148,165,29,D,10,3.57999992371,user,1,0,0,0,10,0,10,10,10,74,84,12,60,109,30,129,142,0,10,0
